"V1","V2","V3","V4","V5","V6"
2642,2477,3438,3123,2269,2508
812,3043,3148,3151,100,1244
3113,1707,1648,3159,2270,3002
1565,2651,3390,1286,981,2331
1555,2500,534,2256,398,216
876,2100,408,332,1906,3247
2784,1206,3367,3139,1998,3449
1264,1355,2224,713,3065,730
2612,586,3114,1983,2584,1731
2406,1068,2506,343,2330,2236
2762,978,1638,1173,2113,2887
716,507,2470,1930,1684,973
1258,30,1572,239,3490,1567
2363,1599,2158,1662,2790,164
3306,3254,2124,2095,2160,1828
2131,759,3211,1912,2267,1790
1729,2914,2296,990,821,402
2178,722,1770,1708,986,2689
3347,1730,1049,1425,287,108
816,1886,3304,3407,666,102
1482,3105,2339,782,2888,648
3176,644,1575,2232,237,1109
3478,1185,473,3309,1830,1040
1756,856,518,25,2614,748
994,2539,122,1335,903,1826
3248,768,1988,2852,3437,1473
54,920,2831,3508,184,3029
3071,3,3001,539,2215,2060
2231,645,811,1889,2460,2329
3017,503,3026,1089,2850,1793
1496,943,2516,933,2865,45
3253,719,2954,2228,117,2593
14,3089,118,2096,1553,2190
3257,2398,975,1172,1705,3167
1510,168,1247,2388,315,559
37,540,556,2051,1083,2044
2688,2492,1608,850,1457,1719
1174,628,237,1109,2038,1017
635,2677,2460,2329,3399,2590
697,1441,1704,1382,1927,2889
2756,1569,334,770,3476,3324
1491,2888,1096,2339,663,627
2933,2946,2547,1335,1124,1736
1866,555,3330,2387,3279,156
1690,292,3003,1418,3313,352
2415,1227,2659,3287,46,2237
2625,1806,3161,1104,3171,2312
547,1014,3235,2170,3096,2635
3283,2681,196,2459,3173,283
1942,3394,2119,2250,872,2469
2544,900,1309,394,2024,3106
176,2426,2951,3433,3062,2495
462,1367,1600,1752,3004,1864
776,2364,249,2805,1256,1963
2112,2796,2035,263,2542,1465
3356,3052,1077,272,77,1298
1096,2854,1874,648,491,2888
934,2627,3137,1218,1089,1358
248,3471,1570,1064,3368,896
174,3280,3304,496,626,816
2230,2443,2666,151,2062,1984
2551,3442,550,929,1879,222
966,2029,2066,1520,1100,672
1838,3107,3301,2208,444,2234
955,1267,2594,1235,1903,1388
1100,1901,2066,136,49,669
1252,2721,8,207,3061,1197
2607,2449,2038,1422,3154,351
739,788,2115,343,1458,2236
3339,1126,2678,2503,2537,3452
983,1286,1443,1032,1565,3327
295,407,885,463,2986,1523
1426,2022,2846,1021,1466,2693
1181,284,2724,1722,1380,1972
1534,196,1270,370,1738,1944
2542,1630,866,82,2035,2547
2940,2468,1990,355,2675,1009
1131,2532,3294,3345,2809,1994
709,3326,2592,1168,3396,1865
2044,1722,2724,1821,37,1533
3119,886,1579,1715,1078,3101
1799,3393,361,131,1241,2051
1279,2811,592,1416,3262,380
1412,2053,1275,1751,329,1680
1888,833,717,2023,2905,1328
227,1293,1133,1855,3281,2075
2893,2090,2752,1463,2789,3085
705,3460,3457,3123,2000,1573
298,2136,2580,728,1615,3219
3276,1893,240,1034,3009,3003
646,1441,3436,2392,1382,2199
2906,2687,1898,1424,264,1454
3098,1419,3239,1138,1949,442
2847,1629,2831,1902,3467,3454
1664,2166,2578,1628,75,1940
717,3147,2905,1626,880,1562
553,344,1528,3081,2832,2262
2342,2143,153,1198,2976,1319
694,2505,3457,3123,3190,2508
2067,151,2094,569,2230,3493
913,44,2996,484,523,1872
3408,2134,7,1357,1935,2157
2098,685,3396,1865,2369,2878
935,3223,3263,1383,2667,2693
2375,588,755,3227,3293,134
1694,1951,477,2725,10,1836
2224,3314,2517,614,964,1355
2638,961,1876,2549,2722,3359
950,2673,1369,2730,2745,2941
618,507,1325,1684,579,1761
3147,702,691,2905,1925,1888
758,1784,604,2065,2631,720
3010,2228,1516,638,2593,1445
604,1887,2885,718,1784,3180
3266,2929,996,2428,3372,3230
1304,1500,624,252,1770,1708
2373,1570,1423,3368,28,2836
3213,878,3389,2148,1351,3205
488,189,2126,2128,224,425
147,1030,3082,299,3458,1949
20,1578,3259,3357,1593,2909
2580,3249,2741,695,1630,2136
2082,809,2462,1253,190,450
1963,776,3065,2164,1264,614
330,2272,750,2258,2853,3019
848,530,3218,256,1451,2189
807,2983,2997,897,241,2731
3381,3117,80,808,1709,1186
2507,1154,372,1005,3041,1980
1870,3421,782,3501,494,1745
119,2627,2161,934,2592,3396
1945,1742,1611,892,3303,96
675,1174,1458,2236,3154,2766
1813,602,3032,331,1107,1247
3429,17,201,305,3220,3008
294,2549,1558,2780,2638,2840
2538,875,3006,399,2013,410
1205,531,3375,1849,2683,751
1967,205,2878,2471,2700,2425
1818,955,1768,760,232,3411
2872,2558,2912,2630,2998,567
2316,2218,25,1841,1756,630
3427,1056,1384,2866,2097,186
2788,2853,330,1831,731,1952
565,3375,2683,487,744,1036
2841,839,3440,2864,2397,593
431,2701,2241,1714,2947,2782
580,161,3042,3241,1230,2357
573,2629,711,3293,2884,2375
133,480,2582,2376,3416,1324
2683,1207,531,3496,83,2568
600,718,1719,2556,604,2631
2083,622,2131,3252,2267,1912
1903,955,1818,746,430,1338
318,1937,3361,1039,3523,597
1737,1127,2021,3358,441,2213
814,928,2138,3007,3152,916
2270,3272,2738,1764,225,138
3524,2876,1839,1208,2994,3504
3138,1848,2938,417,2926,3401
1544,128,379,2064,3419,2322
442,632,2995,1419,1988,2852
1511,944,3348,423,1931,211
334,3516,1569,647,1826,1675
2370,859,74,947,1176,1283
383,3512,2451,1910,2795,824
3462,2105,2007,3463,382,2911
